-306;96;148;1736114609784;world
-306;96;147;1736114609292;world
-308;92;148;1736112512164;world
-306;96;149;1736114649851;world
-308;92;150;1736114463339;world
-308;92;149;1736114462681;world
-308;92;152;1736114464288;world
-308;92;151;1736114463838;world
-308;92;153;1736114471092;world
-314;81;119;1736381834742;world
-231;84;137;1735921155226;world
-229;88;112;1735871444994;world
-265;80;143;1735921216827;world
-323;96;89;1736169266450;world
-229;88;114;1735872609442;world
-308;92;136;1736114060281;world
-308;92;135;1736114122685;world
-308;92;138;1736114058680;world
-306;96;140;1736114614436;world
-308;92;137;1736114058830;world
-306;96;139;1736114702489;world
-308;92;140;1736112469080;world
-306;96;142;1736114613036;world
-308;92;139;1736114058530;world
-306;96;141;1736114613586;world
-323;96;95;1736169262766;world
-306;96;144;1736114611744;world
-306;96;143;1736114612035;world
-306;96;146;1736114607182;world
-314;81;106;1736381893592;world
-306;96;145;1736114611545;world
-306;95;147;1736113550332;world
-229;88;96;1736127452333;world
-308;92;115;1736103620595;world
-308;91;148;1736112511664;world
-229;88;98;1736127482167;world
-229;88;104;1735872564691;world
-308;91;152;1736112508561;world
-314;80;119;1736381804591;world
-229;88;106;1735871439743;world
-229;87;109;1735920574874;world
-319;103;89;1736169963304;world
-317;107;92;1736171234835;world
-323;95;89;1736169266000;world
-229;88;88;1736127487083;world
-319;103;95;1736169967406;world
-308;91;136;1736112422710;world
-306;95;141;1736113820986;world
-308;92;110;1736103617194;world
-323;95;95;1736169262264;world
-308;91;140;1736112468581;world
-229;88;90;1736127455782;world
-314;80;106;1736381813296;world
-308;94;148;1736112513164;world
-310;91;115;1736102843248;world
-310;90;147;1736113355980;world
-226;60;223;1736203961339;world
-310;92;89;1736169205414;world
-310;91;121;1736102920801;world
-314;83;119;1736381835699;world
-310;92;95;1736169196359;world
-214;88;124;1735913492179;world
-229;90;112;1735871674292;world
-310;91;104;1736102904450;world
-308;94;140;1736112470079;world
-310;91;110;1736102846501;world
-310;90;141;1736112878469;world
-314;83;106;1736381892942;world
-229;90;96;1736127454131;world
-308;93;148;1736112512664;world
-310;89;147;1736113349118;world
-226;59;223;1736203961103;world
-231;85;130;1735921196625;world
-229;90;106;1735871659242;world
-314;82;119;1736381835243;world
-323;97;88;1736169402365;world
-323;97;89;1736169266900;world
-323;97;90;1736169316914;world
-248;83;131;1735921074926;world
-323;97;91;1736169317513;world
-323;97;92;1736169318214;world
-229;90;90;1736127456466;world
-323;97;93;1736169318764;world
-323;97;94;1736169319549;world
-323;97;95;1736169263215;world
-308;93;140;1736112469579;world
-323;97;96;1736169390308;world
-310;89;141;1736112878017;world
-314;82;106;1736381893193;world
-310;92;147;1736113356979;world
-220;76;171;1736205072539;world
-310;92;148;1736112560729;world
-220;76;169;1736205071440;world
-220;76;170;1736205072689;world
-316;81;117;1736381826807;world
-314;85;119;1736381865691;world
-227;97;109;1735920553225;world
-280;87;130;1736128438634;world
-280;87;133;1736128436531;world
-308;96;140;1736112471080;world
-310;92;140;1736112608930;world
-280;87;136;1736128434111;world
-310;92;141;1736112879480;world
-280;87;139;1736128431764;world
-314;85;106;1736381892542;world
-226;62;223;1736203959503;world
-308;96;148;1736112514166;world
-316;81;108;1736381888490;world
-280;87;142;1736128429481;world
-308;95;148;1736112513664;world
-310;91;147;1736113356430;world
-310;92;121;1736103626841;world
-316;80;117;1736381805947;world
-314;84;119;1736381865992;world
-321;103;89;1736169949713;world
-319;107;92;1736171233834;world
-280;86;130;1736128390136;world
-310;92;104;1736103602992;world
-321;103;95;1736169945610;world
-280;86;133;1736128388981;world
-280;86;136;1736128387382;world
-308;95;140;1736112470580;world
-310;91;141;1736112878980;world
-314;84;106;1736381892747;world
-280;86;139;1736128386019;world
-226;61;223;1736203960354;world
-280;86;142;1736128384333;world
-316;80;108;1736381809749;world
-312;90;148;1736112523181;world
-220;78;171;1736205074839;world
-312;92;89;1736169206163;world
-312;91;121;1736102921201;world
-316;83;117;1736381827551;world
-216;88;123;1735911634693;world
-216;88;124;1735911633298;world
-312;92;95;1736169230112;world
-225;102;150;1735920530825;world
-216;88;125;1735911598050;world
-280;90;130;1736128440989;world
-323;103;89;1736169948112;world
-321;107;92;1736171232461;world
-280;89;130;1736128439433;world
-325;98;89;1736169859059;world
-280;89;133;1736128437482;world
-312;91;104;1736102904098;world
-308;98;140;1736115024235;world
-233;86;119;1735921107125;world
-308;98;139;1736115078884;world
-308;98;142;1736114968140;world
-308;98;141;1736114963882;world
-280;89;136;1736128435016;world
-325;98;95;1736169868264;world
-308;98;144;1736115148001;world
-280;89;139;1736128432782;world
-312;90;140;1736112456663;world
-308;98;143;1736114968385;world
-312;91;110;1736102846899;world
-308;98;146;1736115121493;world
-308;98;145;1736114971786;world
-308;98;148;1736115122694;world
-220;78;169;1736205073840;world
-316;83;108;1736381887943;world
-308;98;147;1736115121780;world
-280;89;142;1736128430460;world
-220;78;170;1736205073441;world
-312;91;115;1736102842752;world
-308;98;149;1736115129882;world
-312;89;148;1736112522731;world
-220;77;170;1736205072990;world
-220;77;171;1736205072840;world
-316;82;117;1736381827141;world
-314;86;119;1736381865391;world
-216;87;127;1735920580075;world
-280;88;130;1736128439082;world
-325;97;89;1736169384956;world
-312;89;134;1736112412779;world
-280;88;133;1736128436986;world
-280;88;136;1736128434611;world
-308;97;140;1736112471529;world
-325;97;95;1736169375015;world
-310;93;141;1736113053579;world
-314;86;106;1736381892392;world
-312;89;140;1736112456213;world
-280;88;139;1736128432282;world
-280;88;142;1736128429981;world
-220;77;169;1736205073689;world
-316;82;108;1736381888148;world
-308;97;148;1736112514615;world
-310;93;147;1736113357433;world
